pali	english	type	gender	notes
Buddha / Tathāgata / Sugata	the Buddha	noun	m	one who has attained enlightenment; the Enlightened One (masculine) — Definition from SuttaCentral | one who has gone so; the awakened one; used by Gotama (a) of Buddhas generally, including himself; (b) specifically of himself; by others (a) of Buddhas generally, including Gotama; (b) of Gotama specifically; a designation of an arahat; a creature; a sentient being (masculine) — Definition from SuttaCentral | faring well; happy. (masculine), the Buddha (adjective) — Definition from SuttaCentral
manussa	man, human being	noun	m	a human being (masculine) — Definition from SuttaCentral
nara / purisa	man, person	noun	m	a man; a person; plural men; people (masculine) — Definition from SuttaCentral | a male; a man (masculine) — Definition from SuttaCentral
kassaka	farmer	noun	m	a plowman; a cultivator, a farmer (masculine) — Definition from SuttaCentral
brāhmaṇa	brahmin	noun	m	a man of the Brahman caste (masculine) — Definition from SuttaCentral
putta	son	noun	m	a son; a child (masculine) — Definition from SuttaCentral
mātula	uncle	noun	m	maternal uncle (masculine) — Definition from SuttaCentral
kumāra	boy	noun	m	a child; a boy, a youth; a son; (pi) boys; children; a prince; especially the heir apparent (masculine) — Definition from SuttaCentral
vāṇija	merchant	noun	m	a merchant; trader (masculine) — Definition from SuttaCentral
bhūpāla	king	noun	m	[not found on SuttaCentral]
sahāya / sahāyaka / mitta	friend	noun	m	a friend; an ally (masculine) — Definition from SuttaCentral | a friend; an ally (masculine) — Definition from SuttaCentral | a friend (masculine & neuter) — Definition from SuttaCentral
bhāsati	speaks	verb		says; speaks; shines (bhās + a) — Definition from SuttaCentral
pacati	cooks	verb		cooks (pac + a) — Definition from SuttaCentral
kasati	ploughs	verb		hurts, injures (present3 singular) — Definition from SuttaCentral
bhuñjati	eats	verb		eats; enjoys (bhuj + ṁ-a) — Definition from SuttaCentral
sayati	sleeps	verb		sleeps; lies down (si + a) — Definition from SuttaCentral
passati	sees	verb		sees; finds; understands (dis + a; dis is changed to pas) — Definition from SuttaCentral
chindati	cuts	verb		cuts; chops; cuts off; cuts out; inscribes; cuts down; destroys; removes; crosses (water) (present 3 singular) — Definition from SuttaCentral
gacchati	goes	verb		of people, animals, rivers, roads etc.) goes; moves, walks; goes away, leaves; goes to (+ accusative or santike/santikaṁ etc.); often with absolutive, eg. ādāya ~ati, gahetvā ~ati, goes with, takes; pahāya ~ati, goes off without, leaves behind; goes to another existence, another birth etc.; follows a course; follows a future course; goes to an activity; goes to do something; goes to in a sexual intercourse; has intercourse with; goes to a state of condition; undergoes, reaches; obtains; relies on; Note: the first person present is sometimes used to express an immediate or near future sense: I am going; I am going to go; we are about to go (present 3 singular) — Definition from SuttaCentral
āgacchati	comes	verb		comes, comes near; comes back, returns; reaches, attains; is recorded, is handed down by tradition (present 3 singular) — Definition from SuttaCentral
dhāvati	runs	verb		runs; streams; rushes; runs around (present 3 singular) — Definition from SuttaCentral
