pali	english	type	gender
nayana / locana	eye	noun	n
udaka / jala	water	noun	n
arañña / vana	forest	noun	n
puppha / kusuma	flower	noun	n
geha / ghara	house	noun	n
āsana	seat	noun	n
paṇṇa	leaf	noun	n
tiṇa	grass	noun	n
khīra	milk	noun	n
nagara	city, town	noun	n
uyyāna	park	noun	n
khetta	field	noun	n
bhaṇḍa	goods	noun	n
sīla	virtue, precept	noun	n
dāna	alms, charity	noun	n
rūpa	object	noun	n
dvāra	door	noun	n
vattha	cloth	noun	n
vivarati	opens	verb	
naccati	dances	verb	
nikkhipati	puts	verb	
uṭṭhahati	gets up	verb	
phusati	touches	verb	
anusāsati	instructs	verb	
ovadati	advises	verb	
saṃharati	collects	verb	
āsiñcati	sprinkles	verb	
akkosati	scolds	verb	
bhindati	breaks	verb	
pibati / pivati	drinks	verb	
